Spoken form, Cursorless identifier
bottom, scrollToBottom
breakpoint, toggleLineBreakpoint
bring, replaceWithTarget
call, callAsFunction
carve, cutToClipboard
center, scrollToCenter
chuck, remove
change|clear, clearAndSetSelection
clone, insertCopyAfter
clone up, insertCopyBefore
comment, toggleLineComment
copy, copyToClipboard
crown, scrollToTop
dedent, outdentLine
define, revealDefinition
drink, editNewLineBefore
drop, insertEmptyLineBefore
extract, extractVariable
float, insertEmptyLineAfter
fold, foldRegion
format, applyFormatter
hover, showHover
indent, indentLine
inspect, showDebugHover
move, moveToTarget
paste to|paste, pasteFromClipboard
phones, nextHomophone
post, setSelectionAfter
pour, editNewLineAfter
pre, setSelectionBefore
puff, insertEmptyLinesAround
quick fix, showQuickFix
reference, showReferences
rename, rename
reverse, reverseTargets
scout, findInDocument
scout all, findInWorkspace
sort, sortTargets
swap, swapTargets
take, setSelection
type deaf, revealTypeDefinition
unfold, unfoldRegion
wrap, wrapWithPairedDelimiter

# 2022-02-12 12:30:16 - New entries automatically added by cursorless
give, deselect
repack|rewrap, rewrap
shuffle, randomizeTargets

# 2022-02-26 20:46:59 - New entries automatically added by cursorless
follow, followLink
highlight, highlight

# 2022-07-07 15:10:21 - New entries automatically added by cursorless
snippet, insertSnippet
snippet make, generateSnippet
